"test","HR","CI_low","CI_high","p_raw","p_bonferroni","p_BH_FDR","family_size","survives_bonferroni_0.05"
"sleep->CV (cause-specific)",1.65494871304039,1.1634838509347,2.35401225431169,0.00507497827789544,0.0202999131115818,0.00676663770386058,4,TRUE
"sleep->all-cause",1.33849562603543,1.0982461528871,1.63130144932104,0.00387189301297133,0.0154875720518853,0.00676663770386058,4,TRUE
"DII->all-cause (per SD)",1.15948905050959,1.05547921163359,1.27374830639331,0.00202882857902265,0.00811531431609061,0.00676663770386058,4,TRUE
"DII->CV (per SD)",1.08120326211823,0.927574121998169,1.26027717493546,0.318049385311705,1,0.318049385311705,4,FALSE
