"effect","estimate","conf.low","conf.high","p.value","outcome"
"Rcde",1.11612241436134,1.04642911638299,1.1986007491933,0,"all_cause"
"Rpnde",1.11612241436134,1.04642911638299,1.1986007491933,0,"all_cause"
"Rtnde",1.11612241436134,1.04642911638299,1.1986007491933,0,"all_cause"
"Rpnie",1.00102729676958,0.998526881493434,1.01063020682103,0.198,"all_cause"
"Rtnie",1.00102729676958,0.998526881493434,1.01063020682103,0.198,"all_cause"
"Rte",1.11726900331206,1.04812626334829,1.20306012672101,0,"all_cause"
"pm",0.00977742556294065,-0.0150558361427598,0.125900163283238,0.198,"all_cause"
