"outcome","time_months","IDI","IDI_lower","IDI_upper","NRI","NRI_lower","NRI_upper"
"all_cause",60,0.001,-0.001,0.004,0.095,0.022,0.163
"all_cause",120,0.002,0,0.006,0.043,0,0.094
