"effect","estimate","conf.low","conf.high","p.value","outcome"
"Rcde",1.09914618215867,0.959970087583475,1.27019813899736,0.16,"cvd"
"Rpnde",1.09914618215867,0.959970087583475,1.27019813899736,0.16,"cvd"
"Rtnde",1.09914618215867,0.959970087583474,1.27019813899736,0.16,"cvd"
"Rpnie",1.00194004560505,0.995584224683003,1.0260696927874,0.21,"cvd"
"Rtnie",1.00194004560505,0.995584224683003,1.0260696927874,0.21,"cvd"
"Rte",1.10127857587867,0.971898366826724,1.28275791701637,0.12,"cvd"
"pm",0.0210547364188292,-0.224739980267592,1.01079405231331,0.282,"cvd"
