"finding","HR","HR_lo","HR_hi","E_value","E_value_CI"
"DII × all-cause M2 (HR=1.08)",1.07917410176157,1.02692986525272,1.13407622206634,1.29333747302688,1.15619651815795
"DII Q4 vs Q1 all-cause M2 (HR=1.51)",1.51064129717888,1.15345574174903,1.9784349291824,1.99312274768974,1.44282121880398
"Sleep × all-cause M2 (HR=1.33)",1.33171060979852,1.09439734951581,1.6204837749603,1.73668494439661,1.32657628074426
"Sleep × CVD M2 (HR=1.62)",1.61975093840694,1.12861355491855,2.32461597775113,2.13884816375176,1.39587370008662
