"variable","chisq","df","p"
"sleep_disorder",0.00144111066916301,1,0.969718008921582
"age",1.16707496334653,1,0.280003072895457
"race",3.78385945330284,4,0.436046791310632
"education",1.00624067806172,2,0.604641028100559
"pir",13.2076417833085,1,0.000278809965021634
"smoke_status",0.594742937369413,1,0.440590892744236
"alcohol_any",0.072259825113221,1,0.78807445327327
"parity",2.73429479431164,1,0.0982148478523023
"GLOBAL",18.8420172884285,12,0.0924130252433076
