"term","estimate","std.error","robust.se","statistic","p.value","conf.low","conf.high","outcome","model"
"DII",1.07891858680134,0.0218027501607214,0.0258504413324456,2.93841137943127,0.00329898958147413,1.02561588645602,1.13499150346411,"all_cause","M2"
"gdm_historyYes",0.969840001111538,0.283678901355334,0.307636124171756,-0.0995467241701658,0.920704191580213,0.530688588496751,1.77239467390919,"all_cause","M2"
"gdm_historyBorderline",1.00845491675604,0.523093797435964,0.362407527328509,0.0232317860745649,0.981465383824018,0.495649464380997,2.05181563224224,"all_cause","M2"
"DII:gdm_historyYes",1.10190496826862,0.132972842830656,0.119987151742093,0.80875718701854,0.418654826802161,0.870985434762349,1.39404691586646,"all_cause","M2"
"DII:gdm_historyBorderline",0.703902248778615,0.255808806541258,0.156925995069459,-2.23746093485746,0.0252562297990094,0.517531398524541,0.957388048818252,"all_cause","M2"
"DII",1.05666269913292,0.0322363492149641,0.0345398038924221,1.59571098382303,0.11055333519542,0.987497585560384,1.13067219207959,"all_cause","M3"
"gdm_historyYes",1.07296542199745,0.379651677637219,0.434213175210239,0.162192769846179,0.871154053242498,0.458123744238685,2.51297779536693,"all_cause","M3"
"gdm_historyBorderline",0.964073715696401,0.831283625737282,0.390310426610616,-0.0937395371375329,0.925316062444104,0.448618733576488,2.07177734618209,"all_cause","M3"
"DII:gdm_historyYes",1.02575067414866,0.186569470838415,0.155179944098998,0.163840177367474,0.869856962060607,0.756749953905139,1.39037265887739,"all_cause","M3"
"DII:gdm_historyBorderline",0.474794823158421,0.627207302599764,0.426413057984935,-1.74683327717665,0.0806662624215042,0.20584604258567,1.09513946086292,"all_cause","M3"
"DII",1.03172176805296,0.0428023920985436,0.0419730751531016,0.74402521129945,0.456861222908047,0.95024380591247,1.12018599863663,"cvd","M2"
"gdm_historyYes",1.39576817054975,0.585592024797893,0.444138519704252,0.75076785465521,0.452792378378473,0.584469559396088,3.33322540857864,"cvd","M2"
"gdm_historyBorderline",1.74333949759859,0.797891412152081,0.588522710831774,0.944402849848143,0.344963825726376,0.550085921523912,5.52501433861034,"cvd","M2"
"DII:gdm_historyYes",1.38601728619334,0.262734449414767,0.171001525079652,1.90895591450925,0.0562677789966813,0.99131547250626,1.9378734327327,"cvd","M2"
"DII:gdm_historyBorderline",0.634013572671744,0.399428634940168,0.231984772625092,-1.96428805053895,0.0494966966573046,0.402376638990105,0.998997385486569,"cvd","M2"
"DII",1.04066550982114,0.0633817974348546,0.0654142569530745,0.609353734832312,0.542289996953117,0.915441180053123,1.18301943033462,"cvd","M3"
"gdm_historyYes",0.689906940160193,1.44669571814093,1.04515145713241,-0.355162457351429,0.722467888333514,0.0889520539398458,5.35087797301541,"cvd","M3"
"gdm_historyBorderline",2.12284890990104,1.01816598512866,0.538939400829539,1.39674147190762,0.162491328159016,0.73819829099103,6.10471136179151,"cvd","M3"
"DII:gdm_historyYes",1.93305756968097,0.583286294282245,0.391960584802827,1.68155423757818,0.092655310788763,0.896617752879794,4.16756366433651,"cvd","M3"
"DII:gdm_historyBorderline",0.653446180323215,0.661876453377539,0.461582506162592,-0.921818092487531,0.35662346856365,0.264429608555192,1.61476588386613,"cvd","M3"
