"step","n"
"原始合并表（2007-2018 六周期）",59842
"女性 (RIAGENDR == 2)",30213
"年龄 ≥ 20",17907
"曾妊娠 (RHQ160 ≥ 1)",12952
"GDM 史报告完整 (RHQ162 ∈ {1,2,3})",12923
"DR1TOT kcal[500,5000] + 至少 1 个 SLQ 可用",12180
"DII 27 项全部可算",12180
"≥3 个睡眠维度可评估",12165
"mortality ELIGSTAT == 1",12136
"核心协变量完整 (最终)",10931
